"lineage","drug","immune","pop","count"
"AzM0L1","Az","M0","L1",4
"AzM0L2","Az","M0","L2",9
"AzM0L3","Az","M0","L3",6
"AzN0L1","Az","N0","L1",7
"AzN0L2","Az","N0","L2",5
"AzN0L3","Az","N0","L3",5
"AzNdL1","Az","Nd","L1",10
"AzNdL2","Az","Nd","L2",10
"AzNdL3","Az","Nd","L3",8
"CeM0L1","Ce","M0","L1",32
"CeM0L2","Ce","M0","L2",34
"CeM0L3","Ce","M0","L3",47
"CeN0L1","Ce","N0","L1",40
"CeN0L2","Ce","N0","L2",39
"CeN0L3","Ce","N0","L3",27
"CeNdL1","Ce","Nd","L1",30
"CeNdL2","Ce","Nd","L2",42
"CeNdL3","Ce","Nd","L3",42
"CiM0L1","Ci","M0","L1",10
"CiM0L2","Ci","M0","L2",10
"CiM0L3","Ci","M0","L3",15
"CiN0L1","Ci","N0","L1",6
"CiN0L2","Ci","N0","L2",7
"CiN0L3","Ci","N0","L3",7
"CiNdL1","Ci","Nd","L1",7
"CiNdL2","Ci","Nd","L2",7
"CiNdL3","Ci","Nd","L3",7
"ImM0L1","Im","M0","L1",9
"ImM0L2","Im","M0","L2",9
"ImM0L3","Im","M0","L3",9
"ImN0L1","Im","N0","L1",16
"ImN0L2","Im","N0","L2",6
"ImN0L3","Im","N0","L3",7
"ImNdL1","Im","Nd","L1",12
"ImNdL2","Im","Nd","L2",12
"ImNdL3","Im","Nd","L3",11
"LeM0L1","Le","M0","L1",13
"LeM0L2","Le","M0","L2",25
"LeM0L3","Le","M0","L3",22
"LeN0L1","Le","N0","L1",25
"LeN0L2","Le","N0","L2",24
"LeN0L3","Le","N0","L3",28
"LeNdL1","Le","Nd","L1",30
"LeNdL2","Le","Nd","L2",31
"LeNdL3","Le","Nd","L3",25
"LiM0L1","Li","M0","L1",31
"LiM0L2","Li","M0","L2",41
"LiM0L3","Li","M0","L3",38
"LiN0L1","Li","N0","L1",15
"LiN0L2","Li","N0","L2",29
"LiN0L3","Li","N0","L3",30
"LiNdL1","Li","Nd","L1",20
"LiNdL2","Li","Nd","L2",29
"LiNdL3","Li","Nd","L3",23
"MeM0L1","Me","M0","L1",8
"MeM0L2","Me","M0","L2",9
"MeM0L3","Me","M0","L3",7
"MeN0L1","Me","N0","L1",7
"MeN0L2","Me","N0","L2",9
"MeN0L3","Me","N0","L3",5
"MeNdL1","Me","Nd","L1",15
"MeNdL2","Me","Nd","L2",18
"MeNdL3","Me","Nd","L3",7
"PeM0L1","Pe","M0","L1",8
"PeM0L2","Pe","M0","L2",10
"PeM0L3","Pe","M0","L3",10
"PeN0L1","Pe","N0","L1",9
"PeN0L2","Pe","N0","L2",8
"PeN0L3","Pe","N0","L3",7
"PeNdL1","Pe","Nd","L1",18
"PeNdL2","Pe","Nd","L2",19
"PeNdL3","Pe","Nd","L3",11
"RiM0L1","Ri","M0","L1",4
"RiM0L2","Ri","M0","L2",9
"RiM0L3","Ri","M0","L3",5
"RiN0L1","Ri","N0","L1",14
"RiN0L2","Ri","N0","L2",4
"RiN0L3","Ri","N0","L3",8
"RiNdL1","Ri","Nd","L1",4
"RiNdL2","Ri","Nd","L2",9
"RiNdL3","Ri","Nd","L3",10
"VaM0L1","Va","M0","L1",14
"VaM0L2","Va","M0","L2",6
"VaM0L3","Va","M0","L3",16
"VaN0L1","Va","N0","L1",4
"VaN0L2","Va","N0","L2",3
"VaN0L3","Va","N0","L3",3
"VaNdL1","Va","Nd","L1",8
"VaNdL2","Va","Nd","L2",6
"VaNdL3","Va","Nd","L3",10
